mean,std,variance,min,max,median,q25,q75,entropy,autocorr_lag1,hurst_exponent,sample_id,class_label,text_length,num_tokens
12502.058,160715.28,25829403000.0,1.0039315,2484519.2,19.939516,3.3807867,138.13344,0.053970491064446416,-0.005782452073025051,0.49869285811320485,35,human,165,240
3324.6047,21737.084,472500830.0,1.0017414,304187.22,17.649685,3.262356,338.61795,0.22126748558637385,0.004775508413094988,0.5731846790554911,36,human,157,222
9037.363,61127.246,3736540200.0,1.0434927,729341.94,27.39106,3.6945863,409.1768,0.2175870533791288,0.004775444754768019,0.535214346940102,37,human,135,153
8673.205,57831.66,3344500700.0,1.0201367,765506.6,52.42536,5.2012963,742.59106,0.22444337242582862,-0.01691438754673312,0.4800831616631441,38,human,163,212
15689.108,78165.28,6109811000.0,1.0004994,839514.7,23.314907,3.877246,962.09845,0.3491053409909597,-0.006280605547379424,0.5836998236022939,39,human,167,201
20005.443,269318.75,72532580000.0,1.0008444,4295202.5,16.597246,2.7395825,180.53761,0.05127319750774369,-0.0054824335888466625,0.49892770841920325,40,human,200,255
3094.146,14433.381,208322500.0,1.0020313,148260.61,24.055305,3.943902,215.94095,0.3640844082299699,0.10979268255540471,0.5890730956713539,41,human,173,255
5971.583,50758.06,2576380400.0,1.0036716,637670.94,17.284607,2.7947516,214.87074,0.08709242354075089,-0.00829351603020048,0.4756390113838388,42,human,182,220
13813.809,177542.42,31521313000.0,1.001517,2805878.0,27.430824,4.1397343,607.15295,0.05213957730113596,-0.002606242646179989,0.4990213258561055,43,human,184,250
8145.784,57150.816,3266215700.0,1.0025796,681950.0,11.413837,2.2213182,149.69868,0.15517687874953817,-0.011763604878431018,0.5178139803542298,44,human,204,252
178502.3,2664336.2,7098688000000.0,1.0019175,42625476.0,34.265617,4.6732826,470.59076,0.025644291646351722,-0.0038571653290573114,0.4995792946382108,45,human,238,255
41846.953,600537.5,360645300000.0,1.0003077,9607553.0,33.373684,4.7709064,207.08466,0.02564429618900385,-0.00413923671061697,0.4995457343337453,46,human,226,255
3286.7197,16843.574,283706020.0,1.0012394,191306.22,15.16189,3.5159633,152.22163,0.32059865752508887,-0.03454573228849598,0.5121276645819952,47,human,232,255
4851.398,36328.113,1319731700.0,1.0013555,549019.9,15.275746,3.6936212,110.08056,0.1976191461810589,-0.0170967074623237,0.48845663526977195,48,human,208,255
4399.3804,40598.168,1648211300.0,1.0001545,618237.56,19.379028,3.5124173,201.82922,0.11514172716304094,-0.00783430637220923,0.49014243820472536,49,human,204,255
7175.1226,65540.56,4295565300.0,1.000092,822195.0,29.420689,4.6362658,392.82715,0.11432850883790963,-0.011690682799887664,0.5026681097503105,50,ai_gen0,124,159
4722.7476,36817.92,1355559400.0,1.0000243,471210.78,14.231539,2.0667546,381.56958,0.1372711807256333,0.030775671346429632,0.5038265749586709,51,ai_gen0,124,168
6215.666,43014.402,1850238800.0,1.0006094,508790.9,81.35768,7.2360287,539.4899,0.1895125985622181,-0.007467046429772861,0.4899555466837256,52,ai_gen0,123,151
11126.128,73126.2,5347441000.0,1.0010535,791633.56,16.574505,3.3168237,300.7342,0.20090527110697287,-0.023104448185194488,0.5235203593943094,53,ai_gen0,121,149
3768.453,16235.54,263592750.0,1.0018831,142423.45,29.168308,4.0421796,265.12283,0.40992670311444496,-0.04637962976316992,0.5592899854202531,54,ai_gen0,125,146
5006.679,35662.523,1271815600.0,1.0021095,411504.06,36.721207,3.4195783,275.62125,0.18747247364757222,-0.00968812965752949,0.4948749706145147,55,ai_gen0,123,153
23224.078,210600.17,44352434000.0,1.0027485,2596597.5,47.54238,4.6630583,656.8657,0.11741199857734311,-0.01213589371794278,0.49692972371295047,56,ai_gen0,130,154
3705.9302,24542.592,602338800.0,1.0002431,289195.34,23.424866,3.845323,431.90363,0.15817384620546326,-0.01774620875060768,0.49774820625689614,57,ai_gen0,129,152
2793.7466,12411.202,154037940.0,1.0012027,124928.22,26.519493,2.822495,251.14052,0.4151826050136891,-0.036621521801241265,0.5181970815483113,58,ai_gen0,128,162
1624.3164,7292.345,53178296.0,1.0096897,60884.57,15.720785,3.7524238,429.69952,0.4838420332240374,-0.03251095504589458,0.553778314446968,59,ai_gen0,114,140
1181.3359,4893.4946,23946290.0,1.0002868,56977.992,11.702852,2.7816596,265.01895,0.4477218711856111,-0.02350200243005766,0.5055152883998243,60,ai_gen0,146,184
3255.7036,23873.947,569965400.0,1.0001651,260439.83,16.679329,3.346761,394.99945,0.13365412536384452,-0.01418930471493319,0.46400001086232784,61,ai_gen0,155,186
1443.1881,9270.621,85944410.0,1.0011162,112892.734,21.85127,2.5213954,283.59604,0.1825741739781272,0.14863050838275008,0.5256642222277345,62,ai_gen0,133,158
1024.0863,4265.427,18193864.0,1.0024209,39653.12,21.606773,3.0473876,150.81879,0.39967360325436063,-0.0522092946741467,0.5883307858065199,63,ai_gen0,149,175
2500.6104,10896.402,118731576.0,1.0023967,91642.95,18.341917,3.1605918,451.54443,0.42058956201347897,-0.023474328064441666,0.5179754890675422,64,ai_gen0,147,189
3278.4993,26700.512,712917300.0,1.0009636,346561.16,23.889078,4.261714,287.3128,0.161392548189453,0.008146374911184391,0.49833607895967336,65,ai_gen0,146,173
13581.6045,152553.47,23272560000.0,1.0015545,2008924.8,15.1165695,2.5791693,150.32689,0.07106921690106029,0.00037847021282523893,0.5024951443247689,66,ai_gen0,141,173
